epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6333,2.33371,4.70614,1.74796,0,0,0,0,2.33051,4.46931,1.87834,8.335e-05,8.335e-05,8.335e-05
2,66.6155,1.98788,3.85687,1.3933,0.00641,0.5,0.00682,0.0023,2.05594,4.23122,1.44553,0.000181555,0.000181555,0.000181555
3,91.7904,1.71004,2.50885,1.19235,0.00368,0.5,0.12437,0.01244,1.26137,3.57631,0.94731,0.000277779,0.000277779,0.000277779
4,125.694,1.48798,1.88008,1.12684,0,0,0,0,0.86123,3.52535,0.87751,0.000372023,0.000372023,0.000372023
5,159.738,1.48033,1.7962,1.15242,0,0,0,0,1.22117,3.55491,0.98726,0.000464286,0.000464286,0.000464286
6,184.869,1.36915,1.51406,1.07012,0.01012,1,0.01064,0.00665,1.1997,3.84921,1.197,0.000554569,0.000554569,0.000554569
7,222.78,1.36431,1.52837,1.07879,0.00658,0.5,0.00655,0.00417,1.19088,3.95424,1.28199,0.000642872,0.000642872,0.000642872
8,263.613,1.28282,1.35054,1.0293,0,0,0,0,1.13966,4.15908,1.13324,0.000729194,0.000729194,0.000729194
9,288.316,1.28956,1.28403,1.03985,0.00982,1,0.06587,0.04107,1.41934,3.72292,1.12341,0.000813536,0.000813536,0.000813536
10,328.553,1.34292,1.24489,1.04251,0.00985,1,0.91167,0.63817,1.25706,2.96674,1.00635,0.000895897,0.000895897,0.000895897
11,363.065,1.34139,1.24672,1.04356,0.00975,1,0.995,0.63435,1.29849,2.58671,1.0226,0.000976279,0.000976279,0.000976279
12,390.156,1.29224,1.1411,1.0207,0.00984,1,0.995,0.70896,1.20509,2.67455,0.99642,0.00105468,0.00105468,0.00105468
13,414.693,1.26644,1.23058,1.04426,0.96635,0.5,0.995,0.41045,1.23442,2.81706,1.01444,0.0011311,0.0011311,0.0011311
14,438.838,1.24573,1.14214,1.03697,1,0.47034,0.995,0.62192,1.39644,2.19905,1.19163,0.00120554,0.00120554,0.00120554
15,464.267,1.28355,1.08329,1.05105,0.86954,0.96896,0.995,0.52278,1.34997,2.2044,1.02056,0.001278,0.001278,0.001278
16,488.877,1.26503,1.12994,1.03824,1,0.45659,0.995,0.52241,1.49601,2.31751,1.10656,0.00134848,0.00134848,0.00134848
17,513.322,1.24,1.11761,1.02396,0.90336,0.5,0.995,0.51826,1.56712,1.99082,1.17948,0.00140295,0.00140295,0.00140295
